# This file contains links between UNL UWs and Hindi Wordnet
# UW	Relation	POS	Words(weight)	SynsetID
#
adorn(icl>change>do,equ>decorate,cob>thing,agt>thing,obj>concrete_thing)	Hypernymy	v	2(2),1(2)	39451
adorned(icl>adj,ant>unadorned)	Direct	a	1(4)	10120
adorned(icl>adj,ant>unadorned)	Direct	a	1(4)	13264
adrenaline(icl>hormone>thing,equ>epinephrine)	Direct	n	3(4),3(4)	28264
adriatic(iof>sea>thing)	Direct	n	2(2)	36240
adulatory(icl>adj)	Direct	a	2(4),1(4)	28113
adult(icl>person>thing,ant>juvenile)	Direct	n	1(2)	22500
adult_education(icl>course>thing)	Direct	n	1(4)	38364
adult_female(icl>female>thing,equ>woman,ant>man)	Hypernymy	n	2(2),1(2)	37800
adult_female(icl>female>thing,equ>woman,ant>man)	Direct	n	1(2)	38053
adult_female(icl>female>thing,equ>woman,ant>man)	Hypernymy	n	3(2),1(2),2(2)	39091
adult_male(icl>male>thing,equ>man,ant>woman)	Direct	n	1(2)	858
adult_male(icl>male>thing,equ>man,ant>woman)	Hypernymy	n	3(2),1(2),2(2)	961
adult_male(icl>male>thing,equ>man,ant>woman)	Hypernymy	n	1(2),3(2),2(2)	972
adulterator(icl>changer>thing)	Direct	n	3(2)	38273
adulterer(icl>libertine>thing)	Direct	n	1(2)	2709
adulteress(icl>adulterer>thing)	Direct	n	1(2)	29950
adulterous(icl>adj)	Direct	a	1(4)	2705
adulthood(icl>maturity>thing)	Direct	n	1(2)	5544
advance(icl>development>process,obj>thing,gol>uw,asp>uw)	Direct	n	3(2)	3096
advance(icl>development>process,obj>thing,gol>uw,asp>uw)	Hypernymy	n	1(2),2(2)	36117
advance(icl>increase>cause>do,src>thing,agt>thing,obj>thing,gol>thing)	Direct	v	1(2)	11928
advance(icl>increase>occur,src>thing,obj>thing,gol>thing,val>uw)	Direct	v	3(2)	5135
advance(icl>move>do,plt>thing,plf>thing,agt>thing,plc>thing)	Direct	v	1(2)	35296
advance(icl>move>process,plt>uw,obj>thing)	Direct	n	2(2)	28507
advance(icl>progress>occur,obj>thing,scn>abstract_thing)	Direct	v	1(2)	5128
advance(icl>promote>do,agt>volitional_thing,obj>thing)	Direct	v	1(4)	38892
advance(icl>sum>thing)	Direct	n	2(2)	11807
